,0,1,2,3,4
0,中央扶手放倒,空调系统,后排空调,后排空调,后排空调
1,驾驶员遮阳板化妆镜,化妆镜,化妆镜,化妆镜,化妆镜
2,后排中央扶手带杯架,后排空调,座椅,座椅,座椅
3,车顶衣挂,座椅,空调系统,空调系统,空调系统
4,车顶眼镜盒,化妆镜,座椅,座椅,座椅
5,副驾驶员座椅腿肚支撑,座椅,化妆镜,化妆镜,化妆镜
6,前排中央扶手,座椅,座椅,座椅,座椅
7,前排杯架,后排空调,座椅,座椅,座椅
8,手套箱带照明,空调系统,座椅,座椅,座椅
9,后排空调出风口,后排空调,后排空调,后排空调,后排空调
10,后排杯架,后排空调,后排空调,后排空调,后排空调
11,前排座椅靠背文件袋,后排空调,后排空调,后排空调,后排空调
12,后排功能控制-控制音响,E,空调系统,空调系统,空调系统
13,带密码的手套箱,化妆镜,空调系统,空调系统,空调系统
14,后排功能控制-控制空调,空调系统,空调系统,空调系统,空调系统
15,副驾遮阳板化妆镜,化妆镜,化妆镜,化妆镜,化妆镜
16,后排中央扶手,后排空调,座椅,座椅,座椅
17,仿皮座椅材质,后排空调,后排空调,后排空调,后排空调
18,车控车设门盖手套箱,后排空调,空调系统,空调系统,空调系统
19,手动调节第二排头枕,后排空调,化妆镜,化妆镜,化妆镜
